split,category,count,feature,observation_level
train,Death Star Phoenix Note,1645,product_type,rfq
train,Holocron Reverse Convertible,1651,product_type,rfq
train,Kessel Run Snowball,1557,product_type,rfq
train,Mandalorian Twin-Win,1648,product_type,rfq
train,Sith Eternal Snowball,1642,product_type,rfq
train,Wretched Hive Digital,1664,product_type,rfq
validation,Death Star Phoenix Note,245,product_type,rfq
validation,Holocron Reverse Convertible,285,product_type,rfq
validation,Kessel Run Snowball,275,product_type,rfq
validation,Mandalorian Twin-Win,249,product_type,rfq
validation,Sith Eternal Snowball,250,product_type,rfq
validation,Wretched Hive Digital,274,product_type,rfq
train,single,3299,basket_type,rfq
train,worst_of,6508,basket_type,rfq
validation,single,534,basket_type,rfq
validation,worst_of,1044,basket_type,rfq
train,12m,861,observation_frequency_clean,rfq
train,1m,3522,observation_frequency_clean,rfq
train,2m,772,observation_frequency_clean,rfq
train,3m,2936,observation_frequency_clean,rfq
train,6m,1436,observation_frequency_clean,rfq
train,daily,280,observation_frequency_clean,rfq
validation,12m,172,observation_frequency_clean,rfq
validation,1m,512,observation_frequency_clean,rfq
validation,2m,127,observation_frequency_clean,rfq
validation,3m,472,observation_frequency_clean,rfq
validation,6m,248,observation_frequency_clean,rfq
validation,daily,47,observation_frequency_clean,rfq
train,Alderaan Wealth Partners,1253,counterparty,rfq
train,Banco de Coruscant,1255,counterparty,rfq
train,Chandrila Sovereign Fund,1256,counterparty,rfq
train,Corellian Capital,1226,counterparty,rfq
train,First Order Financial,1229,counterparty,rfq
train,Jabba Asset Management,1189,counterparty,rfq
train,Kamino Cloning Trust,1236,counterparty,rfq
train,Nal Hutta Traders,1163,counterparty,rfq
validation,Alderaan Wealth Partners,197,counterparty,rfq
validation,Banco de Coruscant,200,counterparty,rfq
validation,Chandrila Sovereign Fund,175,counterparty,rfq
validation,Corellian Capital,204,counterparty,rfq
validation,First Order Financial,206,counterparty,rfq
validation,Jabba Asset Management,192,counterparty,rfq
validation,Kamino Cloning Trust,213,counterparty,rfq
validation,Nal Hutta Traders,191,counterparty,rfq
train,TRD-001,252,trader_id,rfq
train,TRD-002,266,trader_id,rfq
train,TRD-003,232,trader_id,rfq
train,TRD-004,229,trader_id,rfq
train,TRD-005,273,trader_id,rfq
train,TRD-006,269,trader_id,rfq
train,TRD-007,232,trader_id,rfq
train,TRD-008,245,trader_id,rfq
train,TRD-009,271,trader_id,rfq
train,TRD-010,265,trader_id,rfq
train,TRD-011,273,trader_id,rfq
train,TRD-012,244,trader_id,rfq
train,TRD-013,230,trader_id,rfq
train,TRD-014,246,trader_id,rfq
