split,feature,train_missing_rate,compared_missing_rate,missing_rate_delta,status
validation,rfq_id,0.0,0.0,0.0,pass
validation,product_type,0.0,0.0,0.0,pass
validation,underlyings,0.0,0.0,0.0,pass
validation,basket_type,0.0,0.0,0.0,pass
validation,autocall_barrier_pct,0.0,0.0,0.0,pass
validation,protection_barrier_pct,0.0,0.0,0.0,pass
validation,no_call_period_months,0.0,0.0,0.0,pass
validation,observation_frequency,0.0,0.0,0.0,pass
validation,quoted_implied_vol,0.0,0.0,0.0,pass
validation,notional_credits,0.0,0.0,0.0,pass
validation,counterparty,0.0,0.0,0.0,pass
validation,trader_id,0.0,0.0,0.0,pass
validation,requested_date,0.0,0.0,0.0,pass
validation,executed,0.0,0.0,0.0,pass
validation,start_date,0.0,0.0,0.0,pass
validation,end_date,0.0,0.0,0.0,pass
validation,avg_duration_months,0.0,0.0,0.0,pass
validation,row_id,0.0,0.0,0.0,pass
validation,requested_year,0.0,0.0,0.0,pass
validation,requested_quarter,0.0,0.0,0.0,pass
validation,requested_month,0.0,0.0,0.0,pass
validation,underlying_list,0.0,0.0,0.0,pass
validation,basket_size,0.0,0.0,0.0,pass
