feature,model_count,avg_rank,worst_rank,avg_relative_mean_abs_shap,max_relative_mean_abs_shap,feature_type,train_target_spearman,target_correlation_direction,abs_train_target_spearman,pruning_candidate
basket_type,1,173.0,173,0.0,0.0,categorical,,categorical_not_ordered,,False
is_single_underlying,1,138.0,138,0.0,0.0,numeric,-0.35237911432855334,negative,0.35237911432855334,False
is_worst_of,1,139.0,139,0.0,0.0,numeric,0.35237911432855334,positive,0.35237911432855334,False
pair_BSKR_DRC,1,136.0,136,0.0,0.0,numeric,0.029212002552118286,mixed_or_flat,0.029212002552118286,False
pair_BSKR_JEDI,1,135.0,135,0.0,0.0,numeric,0.025221143400723695,mixed_or_flat,0.025221143400723695,False
pair_BSKR_KYBR,1,134.0,134,0.0,0.0,numeric,0.026028045680501075,mixed_or_flat,0.026028045680501075,False
pair_CLNE_JEDI,1,163.0,163,0.0,0.0,numeric,0.016845826512038503,mixed_or_flat,0.016845826512038503,False
pair_CLNE_MNDO,1,140.0,140,0.0,0.0,numeric,0.02937414086021484,mixed_or_flat,0.02937414086021484,False
pair_CLNE_POBK,1,141.0,141,0.0,0.0,numeric,0.04854099317656859,mixed_or_flat,0.04854099317656859,False
pair_CLNE_REBL,1,162.0,162,0.0,0.0,numeric,-0.01974184013003687,mixed_or_flat,0.01974184013003687,False
pair_CLNE_TECH,1,160.0,160,0.0,0.0,numeric,0.02907346735097694,mixed_or_flat,0.02907346735097694,False
pair_CLNE_WOOK,1,161.0,161,0.0,0.0,numeric,0.027429495919573606,mixed_or_flat,0.027429495919573606,False
pair_CORL_JEDI,1,159.0,159,0.0,0.0,numeric,0.022208089347832423,mixed_or_flat,0.022208089347832423,False
pair_CORL_KYBR,1,158.0,158,0.0,0.0,numeric,0.029580516014246754,mixed_or_flat,0.029580516014246754,False
pair_CORL_REBL,1,155.0,155,0.0,0.0,numeric,-0.012128801525108762,mixed_or_flat,0.012128801525108762,False
pair_DRC_MNDO,1,157.0,157,0.0,0.0,numeric,0.025425696450151133,mixed_or_flat,0.025425696450151133,False
pair_DRC_NABO,1,156.0,156,0.0,0.0,numeric,0.01280213658661063,mixed_or_flat,0.01280213658661063,False
pair_HTTX_KYBR,1,153.0,153,0.0,0.0,numeric,0.08045866481042918,positive,0.08045866481042918,False
pair_HTTX_NABO,1,152.0,152,0.0,0.0,numeric,0.09325962011499292,positive,0.09325962011499292,False
pair_HTTX_POBK,1,151.0,151,0.0,0.0,numeric,0.10067591729850497,positive,0.10067591729850497,False
pair_HTTX_SITH,1,150.0,150,0.0,0.0,numeric,0.08763918517236895,positive,0.08763918517236895,False
pair_HTTX_TECH,1,154.0,154,0.0,0.0,numeric,0.11064221874397863,positive,0.11064221874397863,False
pair_JEDI_MNDO,1,148.0,148,0.0,0.0,numeric,0.029559106096336125,mixed_or_flat,0.029559106096336125,False
pair_JEDI_POBK,1,149.0,149,0.0,0.0,numeric,0.042787875670231824,mixed_or_flat,0.042787875670231824,False
pair_JEDI_TECH,1,144.0,144,0.0,0.0,numeric,0.036488946853586286,mixed_or_flat,0.036488946853586286,False
pair_KYBR_MNDO,1,147.0,147,0.0,0.0,numeric,0.03580591401776534,mixed_or_flat,0.03580591401776534,False
pair_KYBR_NABO,1,146.0,146,0.0,0.0,numeric,0.028409657868938943,mixed_or_flat,0.028409657868938943,False
pair_KYBR_SITH,1,145.0,145,0.0,0.0,numeric,0.026856558519649954,mixed_or_flat,0.026856558519649954,False
pair_MNDO_NABO,1,142.0,142,0.0,0.0,numeric,0.02369140725689665,mixed_or_flat,0.02369140725689665,False
pair_MNDO_REBL,1,143.0,143,0.0,0.0,numeric,-0.01549519734541508,mixed_or_flat,0.01549519734541508,False
pair_NABO_REBL,1,170.0,170,0.0,0.0,numeric,-0.04538556313227816,mixed_or_flat,0.04538556313227816,False
pair_NABO_SITH,1,165.0,165,0.0,0.0,numeric,0.025907498820983994,mixed_or_flat,0.025907498820983994,False
pair_NABO_WOOK,1,169.0,169,0.0,0.0,numeric,0.03324993725424709,mixed_or_flat,0.03324993725424709,False
