feature,feature_type,train_target_spearman,target_correlation_direction,n_unique,missing_rate
autocall_barrier_pct,numeric,0.02466426186316218,mixed_or_flat,3094,0.0
protection_barrier_pct,numeric,-0.3036169231026937,negative,3018,0.0
barrier_gap_pct,numeric,0.21460006706388943,positive,5635,0.0
autocall_barrier_above_par_pct,numeric,0.02466426186316218,mixed_or_flat,3094,0.0
protection_buffer_pct,numeric,0.3036169231026937,positive,3018,0.0
autocall_to_protection_ratio,numeric,0.35523248868903723,positive,8358,0.0
no_call_period_months,numeric,0.08345163539241113,positive,7,0.0
no_call_fraction_of_maturity,numeric,0.00064804117811457,mixed_or_flat,3837,0.0
callable_maturity_months,numeric,0.5010855291504437,positive,6810,0.0
observation_interval_months,numeric,0.22295217996723374,positive,6,0.0
is_daily_observation,numeric,-0.06318434275877692,negative,2,0.0
estimated_observation_count,numeric,0.023259712463833387,mixed_or_flat,6443,0.0
post_no_call_observation_count,numeric,0.026876949141538257,mixed_or_flat,9154,0.0
nominal_maturity_months,numeric,0.5099773910179652,positive,2863,0.0
requested_year,numeric,0.001467957890112869,mixed_or_flat,7,0.0
basket_size,numeric,0.3478702927151414,positive,3,0.0
is_worst_of,numeric,0.34854632222557347,positive,2,0.0
is_single_underlying,numeric,-0.34854632222557347,negative,2,0.0
underlying_BSKR,numeric,0.03890606055755083,mixed_or_flat,2,0.0
underlying_CLNE,numeric,0.1126015189885805,positive,2,0.0
underlying_CORL,numeric,0.07581462499271825,positive,2,0.0
underlying_DRC,numeric,0.023994467761843868,mixed_or_flat,2,0.0
underlying_HTTX,numeric,0.16767912024673443,positive,2,0.0
underlying_JEDI,numeric,0.11942623338410858,positive,2,0.0
underlying_KYBR,numeric,0.058342157325127306,positive,2,0.0
underlying_MNDO,numeric,0.015323527373768606,mixed_or_flat,2,0.0
underlying_NABO,numeric,0.11001313676177785,positive,2,0.0
underlying_POBK,numeric,0.03211242359677252,mixed_or_flat,2,0.0
underlying_REBL,numeric,-0.1618580552370355,negative,2,0.0
underlying_SITH,numeric,0.03581485105846401,mixed_or_flat,2,0.0
underlying_TECH,numeric,0.01826149194868181,mixed_or_flat,2,0.0
underlying_WOOK,numeric,0.04943444320862606,mixed_or_flat,2,0.0
pair_BSKR_CLNE,numeric,0.0381764511404462,mixed_or_flat,2,0.0
pair_BSKR_CORL,numeric,0.032975343911977345,mixed_or_flat,2,0.0
pair_BSKR_DRC,numeric,0.02482344071674192,mixed_or_flat,2,0.0
pair_BSKR_HTTX,numeric,0.10639896050318591,positive,2,0.0
pair_BSKR_JEDI,numeric,0.02281493472071727,mixed_or_flat,2,0.0
pair_BSKR_KYBR,numeric,0.02936416343918275,mixed_or_flat,2,0.0
pair_BSKR_MNDO,numeric,0.006083900433088537,mixed_or_flat,2,0.0
pair_BSKR_NABO,numeric,0.026810096976644028,mixed_or_flat,2,0.0
pair_BSKR_POBK,numeric,0.05203166640296265,positive,2,0.0
pair_BSKR_REBL,numeric,-0.025482584365770243,mixed_or_flat,2,0.0
pair_BSKR_SITH,numeric,0.026926397089242146,mixed_or_flat,2,0.0
pair_BSKR_TECH,numeric,0.030174776536018265,mixed_or_flat,2,0.0
pair_BSKR_WOOK,numeric,0.03538025022219696,mixed_or_flat,2,0.0
pair_CLNE_CORL,numeric,0.047074415411424715,mixed_or_flat,2,0.0
pair_CLNE_DRC,numeric,0.022691049830009045,mixed_or_flat,2,0.0
pair_CLNE_HTTX,numeric,0.09577289610958939,positive,2,0.0
pair_CLNE_JEDI,numeric,0.018830260322735597,mixed_or_flat,2,0.0
pair_CLNE_KYBR,numeric,0.038384305236738,mixed_or_flat,2,0.0
pair_CLNE_MNDO,numeric,0.03226136100665788,mixed_or_flat,2,0.0
pair_CLNE_NABO,numeric,0.021600156836019836,mixed_or_flat,2,0.0
pair_CLNE_POBK,numeric,0.05184126791298909,positive,2,0.0
pair_CLNE_REBL,numeric,-0.021159887821937645,mixed_or_flat,2,0.0
pair_CLNE_SITH,numeric,0.00852221644577049,mixed_or_flat,2,0.0
pair_CLNE_TECH,numeric,0.02792684503966217,mixed_or_flat,2,0.0
pair_CLNE_WOOK,numeric,0.02366104667446232,mixed_or_flat,2,0.0
pair_CORL_DRC,numeric,0.027955128086801315,mixed_or_flat,2,0.0
pair_CORL_HTTX,numeric,0.09683056822122409,positive,2,0.0
pair_CORL_JEDI,numeric,0.023946755158065432,mixed_or_flat,2,0.0
pair_CORL_KYBR,numeric,0.03150281051133775,mixed_or_flat,2,0.0
