feature,importance_mean,importance_std
nominal_maturity_months,3.445188891689159,0.04929886368695875
primary_underlying,3.202211182045071,0.14573676896545032
callable_maturity_months,2.8879027302397047,0.0682581004496981
product_type,2.850674952282222,0.07918178092915826
nominal_maturity_bucket,1.8570334694132513,0.03688159941032128
no_call_period_months,0.9130528756529946,0.010738751782117821
observation_frequency_clean,0.8279129964306975,0.03141299307059416
worst_of_pressure,0.70205623152649,0.033297806642806745
observation_interval_months,0.6059438110086848,0.03439734603828587
second_highest_structural_vol_underlying,0.5038678048102527,0.027091475327273146
autocall_barrier_above_par_pct,0.42990128945958883,0.036715906163675996
underlying_REBL,0.42804510675835095,0.020362564820587046
highest_structural_vol_underlying,0.4137537927520837,0.02094294519752479
barrier_gap_pct,0.36433481721952354,0.023965361388450165
highest_vol_sector,0.35212755157663,0.030531870209327315
autocall_barrier_pct,0.2624711360213121,0.019996013532805272
underlying_HTTX,0.2154390986357436,0.016757001972885828
no_call_fraction_of_maturity,0.13263016370388617,0.007249417065453448
basket_realized_vol_change_21d_max,0.12884725346696566,0.02189852676764959
realized_to_structural_vol_ratio,0.12597870190436283,0.014315321205518726
post_no_call_observation_count,0.10879405762839571,0.009198147126292536
highest_realized_vol_underlying,0.10115579463804529,0.018302034079806285
basket_realized_vol_zscore_mean,0.09142519533727853,0.0073757753125266905
estimated_observation_count,0.08554205871173029,0.010008230293443957
second_highest_realized_vol_underlying,0.08416859126539097,0.009935985775195314
worst_of_vol_pressure,0.07574693895847044,0.006658347407374435
basket_realized_vol_change_21d_mean,0.07534254878027849,0.016243935847905688
basket_realized_vol_21d_max,0.06513595232190816,0.009784252704594041
protection_barrier_pct,0.05961850399734434,0.005112786649780823
structural_vol_dispersion_ratio,0.05942061797325593,0.004088655854602263
realized_vol_63d_second_highest,0.059044110358127,0.005569804376712135
has_multiple_sectors,0.056825380093613376,0.0009965424914816856
basket_type,0.05099107359325927,0.005201651706394824
lowest_structural_vol_underlying,0.047238682610036165,0.010723870498561418
lowest_realized_vol_underlying,0.04139975738630266,0.006143407623261065
realized_vol_63d_min,0.03675096125720216,0.010168331458288632
protection_buffer_pct,0.03381417460395806,0.0070434151044534606
structural_base_vol_max,0.0323577622970392,0.007122856584438011
pair_DRC_TECH,0.03083622865172906,0.006767927088230236
basket_realized_vol_zscore_max,0.029433154805913554,0.004211935292447793
basket_signature,0.02922368417608112,0.009140798604831085
basket_realized_vol_21d_mean,0.02889890665643282,0.00902573670450104
worst_of_structural_base_vol_range,0.027267920763013008,0.0016581649079592615
basket_realized_vol_126d_max,0.02514093823528558,0.00537475468970129
dominant_sector,0.02486894828088726,0.007366425095481025
realized_vol_63d_max,0.021587063755988824,0.003593489422508911
structural_base_vol_top2_spread,0.018537797486315632,0.001831953347463315
structural_base_vol_mean,0.015379226442040306,0.004338647152126558
underlying_TECH,0.015211469348725437,0.0034295219129129658
worst_of_realized_vol_63d_range,0.014168552203580908,0.002970351278559996
pair_KYBR_TECH,0.014071651365844495,0.005869801870478843
realized_vol_63d_range,0.013936308472661807,0.002433034204801526
structural_base_vol_second_highest,0.013647669862390011,0.0021232137762596495
pair_MNDO_SITH,0.011253785472229261,0.005257547560660854
realized_vol_dispersion_ratio,0.00924979258620251,0.002206484070595068
pair_JEDI_SITH,0.00920733311502353,0.0017341343625329082
basket_realized_vol_126d_mean,0.00858588909753255,0.004229132095618114
structural_base_vol_range,0.0082074199470485,0.0030249177443361533
autocall_to_protection_ratio,0.008126002214187444,0.0019562009346804996
pair_BSKR_CORL,0.00494259173395335,0.001480034784672969
pair_DRC_KYBR,0.004392622956481596,0.004239269832663449
quoted_implied_vol,0.003973383463570101,0.004819377191625377
pair_BSKR_WOOK,0.003648238739336307,0.0013460590007321083
underlying_BSKR,0.0035630727905568093,0.0004582917730635977
pair_BSKR_SITH,0.003451529979035506,0.0014026506807442577
worst_of_structural_vol_top2_spread,0.003276160097809644,0.0007243325920001421
underlying_WOOK,0.002785116470666793,0.0008111979623349297
underlying_KYBR,0.0019855708416429254,0.001814030765291208
pair_BSKR_CLNE,0.0015212622006666621,0.0008959739860357944
pair_HTTX_REBL,0.001457650298319102,0.000428091724778188
pair_CLNE_WOOK,0.0012580197461492305,0.000582558177642021
pair_CLNE_MNDO,0.0011317185511465766,0.0008792221604217152
pair_POBK_REBL,0.0010104983792794896,0.0007315652865361917
underlying_SITH,0.0009932936832058204,0.0008458283307828945
pair_CORL_HTTX,0.0009099694674072012,0.0004233477547656644
worst_of_realized_vol_top2_spread,0.0008917865837995365,0.000627796637401783
underlying_CLNE,0.0007719692587635052,0.0003245107432972314
pair_CORL_MNDO,0.0007427678304587459,0.00035532271365191603
basket_size,0.0007388177197004353,0.00022301229907238437
pair_HTTX_WOOK,0.0007191881930916466,0.00011100651214707952
pair_CORL_WOOK,0.0007118539367711562,0.0006495831723878349
pair_JEDI_WOOK,0.0006091566314809782,0.000921546815645056
pair_MNDO_REBL,0.0005826415853139366,0.0003010389107199806
basket_realized_vol_trend_max,0.0005793989829255608,0.0017684510737602658
pair_BSKR_JEDI,0.0005227288245706063,0.00034572521210813917
pair_DRC_HTTX,0.0004945324695864173,0.0002601240730181984
pair_KYBR_WOOK,0.0004482397499863566,0.0003922486848039361
pair_JEDI_REBL,0.00037496116773390044,0.000267729100632199
pair_MNDO_POBK,0.00029744533067788126,0.0002929869140259188
sector_concentration,0.0002804090312576335,0.0035820227977081745
underlying_MNDO,0.0002306667276160468,0.0009367026240097517
pair_CORL_JEDI,0.0002248797116573442,0.00031325058535418493
pair_HTTX_SITH,0.00021674290424833487,0.00023038801017844431
underlying_DRC,0.00011526267078778573,0.0001211468429190475
pair_DRC_WOOK,0.00011359108737991619,0.0002866694832290847
