model_name,feature,feature_type,mean_abs_shap,mean_shap,feature_value_shap_spearman,shap_direction,train_target_spearman,target_correlation_direction,missing_rate,n_unique,shap_rank
catboost_tuned__all_without_commercial,nominal_maturity_months,numeric,4.183382342332181,-0.39671350847061276,0.9708553663195758,positive,0.5125397080416637,positive,0.0,2819,1
catboost_tuned__all_without_commercial,primary_underlying,categorical,3.542676758151344,-0.278903783663578,,categorical_not_ordered,,categorical_not_ordered,0.0,15,2
catboost_tuned__all_without_commercial,product_type,categorical,3.0615081733082303,0.05668245773000733,,categorical_not_ordered,,categorical_not_ordered,0.0,6,3
catboost_tuned__all_without_commercial,nominal_maturity_bucket,categorical,2.630393180641407,-0.18988971375079733,,categorical_not_ordered,,categorical_not_ordered,0.0,4,4
catboost_tuned__all_without_commercial,callable_maturity_months,numeric,2.172241412803801,-0.4519293337782982,0.9501744436184335,positive,0.5035446047078381,positive,0.0,6183,5
catboost_tuned__all_without_commercial,autocall_barrier_pct,numeric,1.5819576724402469,-0.01765923911744835,0.9285869174740196,positive,0.022699555835761928,mixed_or_flat,0.0,2962,6
catboost_tuned__all_without_commercial,observation_frequency_clean,categorical,1.4857760477171482,0.16179037404413824,,categorical_not_ordered,,categorical_not_ordered,0.0,6,7
catboost_tuned__all_without_commercial,observation_interval_months,numeric,1.4335967923105084,0.07903236982603934,0.9586941735490502,positive,0.22021637873928096,positive,0.0,6,8
catboost_tuned__all_without_commercial,underlying_REBL,numeric,1.3247374525219087,-0.11832067373641283,-0.6218427346913259,negative,-0.15916806781231177,negative,0.0,2,9
catboost_tuned__all_without_commercial,worst_of_pressure,numeric,1.290673934552114,-0.08696403401197764,0.8659793894227213,positive,0.4429619177916663,positive,0.0,2008,10
catboost_tuned__all_without_commercial,highest_vol_sector,categorical,1.1676581034371036,0.03475535407719728,,categorical_not_ordered,,categorical_not_ordered,0.0,14,11
catboost_tuned__all_without_commercial,autocall_barrier_above_par_pct,numeric,1.1217907613080425,0.05436763347545848,0.9365846604726648,positive,0.022699555835761928,mixed_or_flat,0.0,2962,12
catboost_tuned__all_without_commercial,barrier_gap_pct,numeric,1.071286232078911,-0.020552406608860003,0.8299634242199844,positive,0.21881677098158808,positive,0.0,5198,13
catboost_tuned__all_without_commercial,no_call_period_months,numeric,1.0353914574869714,0.043463850402207536,0.7477402351976968,positive,0.08659570098303557,positive,0.0,7,14
catboost_tuned__all_without_commercial,highest_realized_vol_underlying,categorical,0.9799953787086916,-0.0220356809769144,,categorical_not_ordered,,categorical_not_ordered,0.0,14,15
catboost_tuned__all_without_commercial,second_highest_structural_vol_underlying,categorical,0.6862915429751406,0.006930589587273452,,categorical_not_ordered,,categorical_not_ordered,0.0,14,16
catboost_tuned__all_without_commercial,highest_structural_vol_underlying,categorical,0.48859052800981395,0.026611471438152245,,categorical_not_ordered,,categorical_not_ordered,0.0,14,17
catboost_tuned__all_without_commercial,lowest_structural_vol_underlying,categorical,0.39369980404709815,-0.012861982704455904,,categorical_not_ordered,,categorical_not_ordered,0.0,14,18
catboost_tuned__all_without_commercial,no_call_fraction_of_maturity,numeric,0.32491659869443695,-0.013538895196877135,0.808350077776744,positive,0.00425182625959308,mixed_or_flat,0.0,3410,19
catboost_tuned__all_without_commercial,basket_realized_vol_change_21d_max,numeric,0.23903738274417802,0.036082383060019395,-0.05497448195918104,negative,0.05619200687794252,positive,0.0,7612,20
catboost_tuned__all_without_commercial,post_no_call_observation_count,numeric,0.2241251380459025,-0.028264741637633803,-0.7502350825027158,negative,0.03141490589214327,mixed_or_flat,0.0,8090,21
catboost_tuned__all_without_commercial,structural_base_vol_max,numeric,0.20903843089326218,0.023618540044805212,0.22103199977381857,positive,0.09504405698417048,positive,0.0,14,22
catboost_tuned__all_without_commercial,underlying_HTTX,numeric,0.20794399773726946,0.014008601994523978,0.5696123562009711,positive,0.1717459980040885,positive,0.0,2,23
catboost_tuned__all_without_commercial,estimated_observation_count,numeric,0.19945036146373374,0.019704895858085856,-0.592648767771182,negative,0.027951978097076953,mixed_or_flat,0.0,5928,24
catboost_tuned__all_without_commercial,basket_realized_vol_change_21d_mean,numeric,0.19078697216564075,0.001418288115999263,-0.3655102136338885,negative,-0.015579999315163486,mixed_or_flat,0.0,9488,25
