model_name,feature,category,mean,count
catboost_tuned__all_without_commercial,observation_frequency_clean,1m,-1.4820091894021723,326
catboost_tuned__all_without_commercial,observation_frequency_clean,3m,-0.07313288679741975,303
catboost_tuned__all_without_commercial,observation_frequency_clean,6m,1.879679683140743,157
catboost_tuned__all_without_commercial,observation_frequency_clean,12m,4.609656917843889,103
catboost_tuned__all_without_commercial,observation_frequency_clean,2m,-0.1473104302840318,80
catboost_tuned__all_without_commercial,observation_frequency_clean,daily,-2.936609802562261,31
catboost_tuned__all_without_commercial,product_type,Kessel Run Snowball,-1.6921993531311719,192
catboost_tuned__all_without_commercial,product_type,Wretched Hive Digital,6.1926472163455895,180
catboost_tuned__all_without_commercial,product_type,Holocron Reverse Convertible,-2.468963083993172,174
catboost_tuned__all_without_commercial,product_type,Death Star Phoenix Note,-2.32640962743238,158
catboost_tuned__all_without_commercial,product_type,Mandalorian Twin-Win,-2.464698877898144,150
catboost_tuned__all_without_commercial,product_type,Sith Eternal Snowball,2.971132630293396,146
catboost_tuned__all_without_commercial,basket_type,worst_of,0.01889167735946314,676
catboost_tuned__all_without_commercial,basket_type,single,-0.05365399504674134,324
catboost_tuned__all_without_commercial,nominal_maturity_bucket,84m+,2.870813298286659,351
catboost_tuned__all_without_commercial,nominal_maturity_bucket,36-60m,-2.0953745682809566,261
catboost_tuned__all_without_commercial,nominal_maturity_bucket,60-84m,-0.01244940770878305,245
catboost_tuned__all_without_commercial,nominal_maturity_bucket,24-36m,-4.5286875121638674,143
catboost_tuned__all_without_commercial,basket_signature,BSKR,0.0,31
catboost_tuned__all_without_commercial,basket_signature,WOOK,0.0,30
catboost_tuned__all_without_commercial,basket_signature,POBK,0.0,28
catboost_tuned__all_without_commercial,basket_signature,REBL,0.0,28
catboost_tuned__all_without_commercial,basket_signature,CLNE,0.0,24
catboost_tuned__all_without_commercial,basket_signature,HTTX,0.0,24
catboost_tuned__all_without_commercial,basket_signature,NABO,0.0,24
catboost_tuned__all_without_commercial,basket_signature,SITH,0.0,24
catboost_tuned__all_without_commercial,basket_signature,CORL,0.0,21
catboost_tuned__all_without_commercial,basket_signature,KYBR,0.0,20
catboost_tuned__all_without_commercial,basket_signature,DRC,0.0,19
catboost_tuned__all_without_commercial,basket_signature,MNDO,0.0,19
catboost_tuned__all_without_commercial,basket_signature,TECH,0.0,18
catboost_tuned__all_without_commercial,basket_signature,JEDI,0.0,14
catboost_tuned__all_without_commercial,basket_signature,CORL|SITH,0.0,11
catboost_tuned__all_without_commercial,basket_signature,JEDI|WOOK,0.0,11
catboost_tuned__all_without_commercial,basket_signature,CORL|HTTX,0.0,10
catboost_tuned__all_without_commercial,basket_signature,JEDI|MNDO,0.0,10
catboost_tuned__all_without_commercial,basket_signature,CLNE|POBK,0.0,10
catboost_tuned__all_without_commercial,basket_signature,HTTX|TECH,0.0,9
catboost_tuned__all_without_commercial,basket_signature,NABO|SITH,0.0,9
catboost_tuned__all_without_commercial,basket_signature,BSKR|WOOK,0.0,9
catboost_tuned__all_without_commercial,basket_signature,CLNE|KYBR,0.0,9
catboost_tuned__all_without_commercial,basket_signature,CLNE|WOOK,0.0,9
catboost_tuned__all_without_commercial,basket_signature,MNDO|NABO,0.0,9
catboost_tuned__all_without_commercial,primary_underlying,MULTI,1.9149467147575157,676
catboost_tuned__all_without_commercial,primary_underlying,BSKR,-5.67910684124982,31
catboost_tuned__all_without_commercial,primary_underlying,WOOK,-3.1521214188615043,30
catboost_tuned__all_without_commercial,primary_underlying,POBK,-11.145313074973702,28
catboost_tuned__all_without_commercial,primary_underlying,REBL,-10.795414493656294,28
catboost_tuned__all_without_commercial,primary_underlying,CLNE,2.502576513239728,24
