model_name,feature,feature_type,mean_abs_shap,mean_shap,feature_value_shap_spearman,shap_direction,train_target_spearman,target_correlation_direction,missing_rate,n_unique,shap_rank
catboost_tuned__all_without_noise,nominal_maturity_months,numeric,5.069691972192865,-0.7837889155503855,0.9605023193819888,positive,0.5125397080416637,positive,0.0,2819,1
catboost_tuned__all_without_noise,primary_underlying,categorical,3.802155424694084,-0.22246155324973993,,categorical_not_ordered,,categorical_not_ordered,0.0,15,2
catboost_tuned__all_without_noise,product_type,categorical,3.1154331656274064,-0.14406516872460864,,categorical_not_ordered,,categorical_not_ordered,0.0,6,3
catboost_tuned__all_without_noise,nominal_maturity_bucket,categorical,1.9683662283035745,-0.09507390761256461,,categorical_not_ordered,,categorical_not_ordered,0.0,4,4
catboost_tuned__all_without_noise,observation_frequency_clean,categorical,1.8209398930530385,0.1104377692455061,,categorical_not_ordered,,categorical_not_ordered,0.0,6,5
catboost_tuned__all_without_noise,callable_maturity_months,numeric,1.798303262891517,-0.30020763846052795,0.9611175033191447,positive,0.5035446047078381,positive,0.0,6183,6
catboost_tuned__all_without_noise,autocall_barrier_above_par_pct,numeric,1.3775437099251417,-0.04751678635903992,0.919120294201863,positive,0.022699555835761928,mixed_or_flat,0.0,2962,7
catboost_tuned__all_without_noise,underlying_REBL,numeric,1.2964844532178308,-0.12168721565209714,-0.621842736556856,negative,-0.15916806781231177,negative,0.0,2,8
catboost_tuned__all_without_noise,autocall_barrier_pct,numeric,1.2802926204605265,0.05375921261757118,0.9297147929294746,positive,0.022699555835761928,mixed_or_flat,0.0,2962,9
catboost_tuned__all_without_noise,observation_interval_months,numeric,1.2295653257769215,0.12867183382499656,0.9559111469622902,positive,0.22021637873928096,positive,0.0,6,10
catboost_tuned__all_without_noise,worst_of_pressure,numeric,1.133132465988561,-0.01767312329418629,0.8749136302792551,positive,0.4429619177916663,positive,0.0,2008,11
catboost_tuned__all_without_noise,highest_structural_vol_underlying,categorical,1.1156664499065096,-0.002192630669221838,,categorical_not_ordered,,categorical_not_ordered,0.0,14,12
catboost_tuned__all_without_noise,no_call_period_months,numeric,1.0833968392674493,0.09679400347286779,0.80201394734282,positive,0.08659570098303557,positive,0.0,7,13
catboost_tuned__all_without_noise,barrier_gap_pct,numeric,1.0058099515285008,0.023298515967717388,0.8755915726849226,positive,0.21881677098158808,positive,0.0,5198,14
catboost_tuned__all_without_noise,second_highest_structural_vol_underlying,categorical,0.9779564678755651,0.03471698261008247,,categorical_not_ordered,,categorical_not_ordered,0.0,14,15
catboost_tuned__all_without_noise,highest_vol_sector,categorical,0.9227365774056018,0.009932674296867472,,categorical_not_ordered,,categorical_not_ordered,0.0,14,16
catboost_tuned__all_without_noise,highest_realized_vol_underlying,categorical,0.6371330362604242,0.03313907237996479,,categorical_not_ordered,,categorical_not_ordered,0.0,14,17
catboost_tuned__all_without_noise,lowest_structural_vol_underlying,categorical,0.4147484781325166,-0.001927950671680943,,categorical_not_ordered,,categorical_not_ordered,0.0,14,18
catboost_tuned__all_without_noise,basket_signature,categorical,0.3567362631287889,0.061722692966694796,,categorical_not_ordered,,categorical_not_ordered,0.0,461,19
catboost_tuned__all_without_noise,structural_base_vol_max,numeric,0.3502766992122025,-0.0068685858460669725,0.3082442337882404,positive,0.09504405698417048,positive,0.0,14,20
catboost_tuned__all_without_noise,estimated_observation_count,numeric,0.3492156746022343,0.0100176196198554,-0.8469559257349514,negative,0.027951978097076953,mixed_or_flat,0.0,5928,21
catboost_tuned__all_without_noise,underlying_HTTX,numeric,0.3491598988310201,0.025471857037968327,0.5492870718856359,positive,0.1717459980040885,positive,0.0,2,22
catboost_tuned__all_without_noise,basket_realized_vol_change_21d_max,numeric,0.32415882471763696,0.01892110496044206,-0.08300799681280985,negative,0.05619200687794252,positive,0.0,7612,23
