model_name,feature,category,mean,count
catboost_tuned__all_without_noise,observation_frequency_clean,1m,-2.106891982716461,326
catboost_tuned__all_without_noise,observation_frequency_clean,3m,0.20400882638319043,303
catboost_tuned__all_without_noise,observation_frequency_clean,6m,2.0408720657328443,157
catboost_tuned__all_without_noise,observation_frequency_clean,12m,4.736728511687868,103
catboost_tuned__all_without_noise,observation_frequency_clean,2m,0.36198924152764556,80
catboost_tuned__all_without_noise,observation_frequency_clean,daily,-3.283522875133964,31
catboost_tuned__all_without_noise,product_type,Kessel Run Snowball,-2.2674924793629914,192
catboost_tuned__all_without_noise,product_type,Wretched Hive Digital,6.074299486670922,180
catboost_tuned__all_without_noise,product_type,Holocron Reverse Convertible,-2.400588282494812,174
catboost_tuned__all_without_noise,product_type,Death Star Phoenix Note,-2.6962871553949497,158
catboost_tuned__all_without_noise,product_type,Mandalorian Twin-Win,-2.329584720875719,150
catboost_tuned__all_without_noise,product_type,Sith Eternal Snowball,2.678581640754636,146
catboost_tuned__all_without_noise,basket_type,worst_of,0.0,676
catboost_tuned__all_without_noise,basket_type,single,0.0,324
catboost_tuned__all_without_noise,nominal_maturity_bucket,84m+,2.261967452225525,351
catboost_tuned__all_without_noise,nominal_maturity_bucket,36-60m,-0.8508861473849112,261
catboost_tuned__all_without_noise,nominal_maturity_bucket,60-84m,-0.175409543115402,245
catboost_tuned__all_without_noise,nominal_maturity_bucket,24-36m,-4.363411614076843,143
catboost_tuned__all_without_noise,basket_signature,BSKR,-0.46818700268680896,31
catboost_tuned__all_without_noise,basket_signature,WOOK,-0.6090479065609251,30
catboost_tuned__all_without_noise,basket_signature,POBK,-0.3082300784156154,28
catboost_tuned__all_without_noise,basket_signature,REBL,0.1282421355428562,28
catboost_tuned__all_without_noise,basket_signature,CLNE,0.002722232854842297,24
catboost_tuned__all_without_noise,basket_signature,HTTX,-0.22754264626784906,24
catboost_tuned__all_without_noise,basket_signature,NABO,0.41561237327811645,24
catboost_tuned__all_without_noise,basket_signature,SITH,-0.6922127961975731,24
catboost_tuned__all_without_noise,basket_signature,CORL,-0.5558311405970948,21
catboost_tuned__all_without_noise,basket_signature,KYBR,-0.38117923864462133,20
