model_name,feature,feature_type,mean_abs_shap,mean_shap,feature_value_shap_spearman,shap_direction,train_target_spearman,target_correlation_direction,missing_rate,n_unique,shap_rank
xgboost_ordinal__all_without_commercial,nominal_maturity_months,numeric,7.767026424407959,0.2657947838306427,0.9665729853135995,positive,0.5125397080416637,positive,0.0,2819,1
xgboost_ordinal__all_without_commercial,worst_of_pressure,numeric,4.246669769287109,-0.017503349110484123,0.901398845999454,positive,0.4429619177916663,positive,0.0,2008,2
xgboost_ordinal__all_without_commercial,callable_maturity_months,numeric,2.2140135765075684,0.10027799010276794,0.9567697598757696,positive,0.5035446047078381,positive,0.0,6183,3
xgboost_ordinal__all_without_commercial,underlying_REBL,numeric,2.188270330429077,-0.15056611597537994,-0.6218427346913259,negative,-0.15916806781231177,negative,0.0,2,4
xgboost_ordinal__all_without_commercial,observation_interval_months,numeric,2.107781410217285,0.14779077470302582,0.9589783698249507,positive,0.22021637873928096,positive,0.0,6,5
xgboost_ordinal__all_without_commercial,product_type,categorical,2.095400333404541,-0.18427972495555878,,categorical_not_ordered,,categorical_not_ordered,0.0,6,6
xgboost_ordinal__all_without_commercial,autocall_barrier_pct,numeric,2.0771543979644775,0.11939547210931778,0.9233786129827528,positive,0.022699555835761928,mixed_or_flat,0.0,2962,7
xgboost_ordinal__all_without_commercial,worst_of_vol_pressure,numeric,1.964063286781311,0.7666817307472229,0.908256556748835,positive,0.40336474922214055,positive,0.0,25,8
xgboost_ordinal__all_without_commercial,underlying_HTTX,numeric,1.0706359148025513,0.13766492903232574,0.6009994685524782,positive,0.1717459980040885,positive,0.0,2,9
xgboost_ordinal__all_without_commercial,no_call_period_months,numeric,0.9466800093650818,0.02116108126938343,0.725948440590363,positive,0.08659570098303557,positive,0.0,7,10
xgboost_ordinal__all_without_commercial,barrier_gap_pct,numeric,0.9219178557395935,0.03298894315958023,0.8270412762195635,positive,0.21881677098158808,positive,0.0,5198,11
xgboost_ordinal__all_without_commercial,realized_vol_63d_min,numeric,0.917012095451355,0.015116389840841293,-0.8321282064703311,negative,-0.270205558952747,negative,0.0,7598,12
xgboost_ordinal__all_without_commercial,post_no_call_observation_count,numeric,0.851553738117218,0.18170320987701416,-0.9362342532605278,negative,0.03141490589214327,mixed_or_flat,0.0,8090,13
xgboost_ordinal__all_without_commercial,structural_base_vol_min,numeric,0.6514925360679626,-0.09494998306035995,-0.7223257018164744,negative,-0.2422425960684044,negative,0.0,14,14
xgboost_ordinal__all_without_commercial,highest_vol_sector,categorical,0.6020693182945251,0.14228345453739166,,categorical_not_ordered,,categorical_not_ordered,0.0,14,15
xgboost_ordinal__all_without_commercial,structural_base_vol_max,numeric,0.5924428105354309,-0.0695231556892395,0.041698675212684576,mixed_or_flat,0.09504405698417048,positive,0.0,14,16
xgboost_ordinal__all_without_commercial,realized_vol_63d_max,numeric,0.5776122808456421,-0.01845579966902733,0.1636369468373221,positive,-0.0019041771713730238,mixed_or_flat,0.0,7636,17
xgboost_ordinal__all_without_commercial,estimated_observation_count,numeric,0.4092597961425781,0.06519203633069992,-0.9456237853679293,negative,0.027951978097076953,mixed_or_flat,0.0,5928,18
xgboost_ordinal__all_without_commercial,basket_signature,categorical,0.2800239324569702,-0.02469049021601677,,categorical_not_ordered,,categorical_not_ordered,0.0,461,19
xgboost_ordinal__all_without_commercial,autocall_to_protection_ratio,numeric,0.2704007029533386,-0.02265872433781624,0.6727879939449368,positive,0.3612758615071104,positive,0.0,7378,20
xgboost_ordinal__all_without_commercial,basket_realized_vol_change_21d_mean,numeric,0.226943701505661,-0.002634734380990267,-0.5455150615190568,negative,-0.015579999315163486,mixed_or_flat,0.0,9488,21
xgboost_ordinal__all_without_commercial,autocall_barrier_above_par_pct,numeric,0.1974552422761917,0.01932130753993988,0.872096503411914,positive,0.022699555835761928,mixed_or_flat,0.0,2962,22
xgboost_ordinal__all_without_commercial,structural_base_vol_mean,numeric,0.19557097554206848,-0.04918771982192993,0.06194663596272841,positive,-0.04858656368062599,mixed_or_flat,0.0,163,23
xgboost_ordinal__all_without_commercial,basket_realized_vol_126d_max,numeric,0.1945333182811737,-0.018405525013804436,-0.1023386774348861,negative,0.010465006007553658,mixed_or_flat,0.0,7642,24
xgboost_ordinal__all_without_commercial,structural_base_vol_second_highest,numeric,0.19104039669036865,-0.0033529663924127817,0.532914367528738,positive,0.13959761390807582,positive,0.3363923727949424,13,25
xgboost_ordinal__all_without_commercial,realized_vol_63d_second_highest,numeric,0.17739883065223694,-0.017832482233643532,0.74530110516337,positive,0.10302958798253814,positive,0.3363923727949424,5436,26
xgboost_ordinal__all_without_commercial,no_call_fraction_of_maturity,numeric,0.17596940696239471,-0.032171208411455154,0.7918449778992066,positive,0.00425182625959308,mixed_or_flat,0.0,3410,27
