model_name,feature,category,mean,count
xgboost_ordinal__all_without_commercial,observation_frequency_clean,1m,-0.04184521,326
xgboost_ordinal__all_without_commercial,observation_frequency_clean,3m,-0.06649403,303
xgboost_ordinal__all_without_commercial,observation_frequency_clean,6m,-0.06188149,157
xgboost_ordinal__all_without_commercial,observation_frequency_clean,12m,0.5311053,103
xgboost_ordinal__all_without_commercial,observation_frequency_clean,2m,-0.0402337,80
xgboost_ordinal__all_without_commercial,observation_frequency_clean,daily,-0.06287564,31
xgboost_ordinal__all_without_commercial,product_type,Kessel Run Snowball,-1.4955617,192
xgboost_ordinal__all_without_commercial,product_type,Wretched Hive Digital,4.4427385,180
xgboost_ordinal__all_without_commercial,product_type,Holocron Reverse Convertible,-2.0750082,174
xgboost_ordinal__all_without_commercial,product_type,Death Star Phoenix Note,-1.220881,158
xgboost_ordinal__all_without_commercial,product_type,Mandalorian Twin-Win,-1.9884804,150
xgboost_ordinal__all_without_commercial,product_type,Sith Eternal Snowball,1.064369,146
xgboost_ordinal__all_without_commercial,basket_type,worst_of,0.0,676
xgboost_ordinal__all_without_commercial,basket_type,single,0.0,324
xgboost_ordinal__all_without_commercial,nominal_maturity_bucket,84m+,0.023953952,351
xgboost_ordinal__all_without_commercial,nominal_maturity_bucket,36-60m,0.035055406,261
xgboost_ordinal__all_without_commercial,nominal_maturity_bucket,60-84m,0.03241734,245
xgboost_ordinal__all_without_commercial,nominal_maturity_bucket,24-36m,-0.11673422,143
xgboost_ordinal__all_without_commercial,basket_signature,BSKR,-0.3641853,31
xgboost_ordinal__all_without_commercial,basket_signature,WOOK,-0.30031553,30
xgboost_ordinal__all_without_commercial,basket_signature,POBK,-0.4837046,28
xgboost_ordinal__all_without_commercial,basket_signature,REBL,-0.47917637,28
xgboost_ordinal__all_without_commercial,basket_signature,CLNE,0.43182886,24
xgboost_ordinal__all_without_commercial,basket_signature,HTTX,-0.073786445,24
xgboost_ordinal__all_without_commercial,basket_signature,NABO,-0.33263373,24
xgboost_ordinal__all_without_commercial,basket_signature,SITH,-0.34142232,24
xgboost_ordinal__all_without_commercial,basket_signature,CORL,0.12690677,21
xgboost_ordinal__all_without_commercial,basket_signature,KYBR,0.3162917,20
xgboost_ordinal__all_without_commercial,basket_signature,DRC,0.079511255,19
xgboost_ordinal__all_without_commercial,basket_signature,MNDO,-0.41378266,19
xgboost_ordinal__all_without_commercial,basket_signature,TECH,-0.46544164,18
xgboost_ordinal__all_without_commercial,basket_signature,JEDI,0.32270533,14
xgboost_ordinal__all_without_commercial,basket_signature,CORL|SITH,0.15068987,11
xgboost_ordinal__all_without_commercial,basket_signature,JEDI|WOOK,0.18520904,11
xgboost_ordinal__all_without_commercial,basket_signature,CORL|HTTX,0.21834429,10
xgboost_ordinal__all_without_commercial,basket_signature,JEDI|MNDO,0.2090462,10
xgboost_ordinal__all_without_commercial,basket_signature,CLNE|POBK,0.22978339,10
xgboost_ordinal__all_without_commercial,basket_signature,HTTX|TECH,0.32376322,9
xgboost_ordinal__all_without_commercial,basket_signature,NABO|SITH,-0.34023583,9
xgboost_ordinal__all_without_commercial,basket_signature,BSKR|WOOK,0.17827499,9
xgboost_ordinal__all_without_commercial,basket_signature,CLNE|KYBR,0.27531445,9
xgboost_ordinal__all_without_commercial,basket_signature,CLNE|WOOK,0.14231406,9
xgboost_ordinal__all_without_commercial,basket_signature,MNDO|NABO,-0.3451645,9
xgboost_ordinal__all_without_commercial,primary_underlying,MULTI,0.051411092,676
xgboost_ordinal__all_without_commercial,primary_underlying,BSKR,-0.3812812,31
xgboost_ordinal__all_without_commercial,primary_underlying,WOOK,-0.023433957,30
xgboost_ordinal__all_without_commercial,primary_underlying,POBK,0.04972452,28
xgboost_ordinal__all_without_commercial,primary_underlying,REBL,0.01466989,28
xgboost_ordinal__all_without_commercial,primary_underlying,CLNE,-0.24575548,24
xgboost_ordinal__all_without_commercial,primary_underlying,HTTX,-0.4353974,24
xgboost_ordinal__all_without_commercial,primary_underlying,SITH,-0.00864225,24
