from_block,to_block,from_feature_count,to_feature_count,removed_count,added_count,removed_features,added_features
all_without_commercial,all_without_noise,183,173,10,0,no_call_observation_count|notional_credits|log_notional_credits|requested_month|requested_quarter|implied_minus_realized_vol_mean|quoted_minus_structural_vol_mean|realized_minus_structural_vol_mean|quoted_to_realized_vol_ratio|quoted_to_structural_vol_ratio,
all_without_noise,global_stable,173,163,10,0,post_no_call_observation_count|requested_year|basket_realized_vol_trend_mean|basket_realized_vol_trend_max|basket_realized_vol_zscore_mean|basket_realized_vol_zscore_max|basket_realized_vol_change_21d_mean|basket_realized_vol_change_21d_max|realized_to_structural_vol_ratio|realized_vol_dispersion_ratio,
global_stable,global_stable_tail,163,159,4,0,structural_base_vol_mean|realized_vol_63d_mean|basket_realized_vol_21d_mean|basket_realized_vol_126d_mean,
global_stable,global_stable_no_sector,163,161,2,0,dominant_sector|highest_vol_sector,
global_stable,global_risk_underlying,163,163,0,0,,
global_risk_underlying,global_all_underlying,163,163,0,0,,
global_stable_tail,global_tail_underlying,159,159,0,0,,
single_core,single_without_noise,24,20,4,0,post_no_call_observation_count|basket_realized_vol_zscore_mean|basket_realized_vol_change_21d_mean|requested_year,
single_without_noise,single_stable,20,19,1,0,basket_realized_vol_trend_mean,
single_stable,single_underlying,19,20,0,1,,primary_underlying
single_underlying,single_underlying_no_sector,20,19,1,0,dominant_sector,
worst_of_core,worst_of_without_noise,166,160,6,0,post_no_call_observation_count|basket_realized_vol_zscore_mean|basket_realized_vol_zscore_max|implied_minus_realized_vol_mean|realized_vol_dispersion_ratio|requested_year,
worst_of_without_noise,worst_of_stable,160,157,3,0,basket_realized_vol_trend_mean|basket_realized_vol_trend_max|realized_to_structural_vol_ratio,
worst_of_stable,worst_of_tail_focus,157,153,4,0,structural_base_vol_mean|realized_vol_63d_mean|basket_realized_vol_21d_mean|basket_realized_vol_126d_mean,
worst_of_stable,worst_of_risk_underlying,157,157,0,0,,
worst_of_tail_focus,worst_of_tail_underlying,153,153,0,0,,
