feature,feature_type,feature_group,business_signal,in_global_52_all_without_noise,in_single_27_compact_core,in_worst_of_46_core,presence_pattern,global_train_rows,single_train_rows,worst_of_train_rows,highest_train_signal_scope,signal_metric,global_train_signal,single_train_signal,worst_of_train_signal,global_validation_signal,single_validation_signal,worst_of_validation_signal
primary_underlying,categorical,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,False,global_52_all_without_noise,9807,3299,6508,single,category_median_spread_over_target_std,2.0768479309018617,2.7335922225952323,,2.0221210255408657,2.461558082783188,
autocall_barrier_above_par_pct,numeric,contractual,estructura contractual y calendario de autocall,True,False,False,global_52_all_without_noise,9807,3299,6508,worst_of,abs_spearman,0.022699555835761925,0.22052787998985734,0.3632492091546086,0.037557016368758356,0.19409234543924697,0.3700749669178106
autocall_to_protection_ratio,numeric,contractual,estructura contractual y calendario de autocall,True,False,False,global_52_all_without_noise,9807,3299,6508,global,abs_spearman,0.36127586150711044,0.1696748259963168,0.32956719700261133,0.31718774563223395,0.11292378241250099,0.29875158333309443
is_single_underlying,numeric,basket,separacion explicita de regimen single/worst_of,True,False,False,global_52_all_without_noise,9807,3299,6508,global,abs_spearman,0.35237911432855334,,,0.3242862791340134,,
protection_buffer_pct,numeric,contractual,estructura contractual y calendario de autocall,True,False,False,global_52_all_without_noise,9807,3299,6508,global,abs_spearman,0.3108177141055571,0.0009650148864882573,0.04895871111258218,0.2584136424537767,0.08215677388739451,0.0029393859366223596
basket_realized_vol_change_21d_max,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,False,False,global_52_all_without_noise,9807,3299,6508,single,abs_spearman,0.05619200687794252,0.1434745276996108,0.059267689346871724,0.004318139212752703,0.12069033555403574,0.010418747709448058
basket_realized_vol_change_21d_mean,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,False,False,global_52_all_without_noise,9807,3299,6508,single,abs_spearman,0.015579999315163486,0.1434745276996108,0.03427903945247538,0.05571056702304335,0.12069033555403574,0.025424746060464545
is_worst_of,numeric,basket,separacion explicita de regimen single/worst_of,True,True,False,global_52_all_without_noise+single_27_compact_core,9807,3299,6508,global,abs_spearman,0.35237911432855334,,,0.3242862791340134,,
dominant_sector,categorical,basket,"composicion, complejidad y riesgo estructural de cesta",True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,single,category_median_spread_over_target_std,1.8406982643807202,2.7335922225952323,1.542342901338118,1.7884516464573856,2.461558082783188,1.2992802649771946
highest_vol_sector,categorical,basket,"composicion, complejidad y riesgo estructural de cesta",True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,single,category_median_spread_over_target_std,1.828006919538893,2.7335922225952323,1.5912426618647626,1.7555339363087212,2.461558082783188,1.426795834749492
product_type,categorical,product,tipo de producto/madurez nominal como regimen,True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,global,category_median_spread_over_target_std,1.420070835337305,0.004474452568630303,1.2258280877474736,1.3201856288496192,0.0028219168666550757,1.1715349374215236
observation_frequency_clean,categorical,contractual,estructura contractual y calendario de autocall,True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,worst_of,category_median_spread_over_target_std,0.8655043919810355,0.9661834579862458,0.988664249193248,0.8739420229610296,0.7607887872501977,0.9737134859369323
realized_vol_63d_max,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.0019041771713730238,0.692432999374365,0.17436552286238788,0.06674276849235285,0.6963287547604915,0.11918044649386458
realized_vol_63d_min,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.270205558952747,0.692432999374365,0.06046356245659146,0.2932302111181068,0.6963287547604915,0.04650465435842988
callable_maturity_months,numeric,contractual,estructura contractual y calendario de autocall,True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,worst_of,abs_spearman,0.5035446047078381,0.26586535125103505,0.6825904251540538,0.48534601208858336,0.32623712234903124,0.6645023202013647
