segment,split,product_type,rows,mean,median,std,min,p10,p25,p75,p90,p95,max,duration_60_plus_rate
single,train,Holocron Reverse Convertible,1651,29.22577831617202,26.91,16.36230312148358,2.03,9.63,16.74,38.22,51.53,59.81,88.99,0.04966686856450636
single,train,Mandalorian Twin-Win,1648,29.544320388349515,26.835,17.156241120184603,3.05,9.637,16.79,38.99,53.08199999999999,64.27049999999997,96.78,0.06492718446601942
single,validation,Holocron Reverse Convertible,285,29.96077192982456,27.01,17.74277222711926,4.31,9.126,15.77,40.75,52.746,62.10600000000001,92.07,0.07017543859649122
single,validation,Mandalorian Twin-Win,249,29.414779116465862,26.96,17.72179792870954,3.94,8.716000000000001,15.7,37.44,49.246000000000016,64.51399999999998,96.94,0.0642570281124498
worst_of,train,Death Star Phoenix Note,1645,34.01601215805471,30.59,17.89036701405709,0.16,14.798,21.01,43.46,57.01200000000001,69.44199999999998,110.04,0.08206686930091185
worst_of,train,Kessel Run Snowball,1557,38.44684649967887,34.86,17.78648396134386,10.69,19.512,25.48,46.97,61.77,74.0579999999999,109.04,0.11303789338471419
worst_of,train,Sith Eternal Snowball,1642,47.9731059683313,44.32,20.549068967754643,13.12,23.962,32.3525,60.1275,76.45600000000002,88.96049999999985,119.39,0.25274056029232644
worst_of,train,Wretched Hive Digital,1664,60.184573317307695,58.165,23.499514242456645,15.73,29.362000000000002,40.92,77.4575,92.637,100.2225,127.71,0.47055288461538464
worst_of,validation,Death Star Phoenix Note,245,32.99502040816326,29.94,16.513997084055838,6.44,14.988000000000001,21.19,42.54,52.01,64.50399999999999,93.18,0.06938775510204082
worst_of,validation,Kessel Run Snowball,275,37.63756363636364,33.65,17.67981285898128,12.07,19.098,24.03,45.754999999999995,59.44799999999999,68.191,117.51,0.09818181818181818
worst_of,validation,Sith Eternal Snowball,250,47.39192,43.245000000000005,21.857744611730798,14.6,22.292,31.472499999999997,59.9625,77.903,89.83699999999997,118.15,0.252
worst_of,validation,Wretched Hive Digital,274,57.20083941605839,55.435,21.936739075596947,18.2,29.535,39.4125,73.6625,87.574,94.23999999999997,114.1,0.4124087591240876
