segment,split,requested_date,product_type,basket_type,observation_frequency,underlyings,target,segment_high_outlier_threshold
single,validation,2022-05-19,Mandalorian Twin-Win,single,1M,NABO,96.94,71.4
single,train,2016-01-20,Mandalorian Twin-Win,single,3M,JEDI,96.78,71.4
single,train,2017-11-14,Mandalorian Twin-Win,single,1Y,JEDI,96.39,71.4
single,validation,2022-04-01,Mandalorian Twin-Win,single,3M,JEDI,95.28,71.4
single,train,2017-05-01,Mandalorian Twin-Win,single,1M,NABO,93.19,71.4
single,validation,2022-02-21,Holocron Reverse Convertible,single,6M,NABO,92.07,71.4
single,train,2019-05-07,Mandalorian Twin-Win,single,6M,JEDI,91.44,71.4
single,train,2021-02-18,Mandalorian Twin-Win,single,Q,CLNE,91.38,71.4
single,train,2017-01-10,Mandalorian Twin-Win,single,1Y,JEDI,90.68,71.4
single,validation,2022-05-25,Holocron Reverse Convertible,single,Monthly,NABO,89.76,71.4
single,train,2016-06-13,Holocron Reverse Convertible,single,1Y,JEDI,88.99,71.4
single,train,2019-11-05,Mandalorian Twin-Win,single,1M,JEDI,87.72,71.4
single,validation,2022-03-04,Mandalorian Twin-Win,single,M,NABO,87.54,71.4
single,train,2021-04-19,Mandalorian Twin-Win,single,1 month,JEDI,87.1,71.4
single,train,2019-09-02,Mandalorian Twin-Win,single,3M,JEDI,85.11,71.4
single,train,2017-10-03,Holocron Reverse Convertible,single,M,NABO,85.11,71.4
single,train,2016-08-24,Holocron Reverse Convertible,single,3M,NABO,85.06,71.4
single,train,2021-07-15,Holocron Reverse Convertible,single,Quarterly,CLNE,85.04,71.4
single,train,2019-03-04,Holocron Reverse Convertible,single,1Y,JEDI,84.79,71.4
single,train,2020-08-24,Mandalorian Twin-Win,single,6M,JEDI,84.71,71.4
single,train,2017-01-10,Holocron Reverse Convertible,single,3M,JEDI,84.03,71.4
single,train,2019-08-08,Holocron Reverse Convertible,single,Monthly,NABO,84.02,71.4
single,train,2020-04-22,Mandalorian Twin-Win,single,1 month,JEDI,83.86,71.4
single,train,2019-10-29,Holocron Reverse Convertible,single,1M,JEDI,83.77,71.4
single,train,2019-01-18,Mandalorian Twin-Win,single,1Y,NABO,83.7,71.4
single,train,2019-09-24,Mandalorian Twin-Win,single,6M,NABO,82.89,71.4
single,train,2017-09-22,Mandalorian Twin-Win,single,6M,NABO,81.87,71.4
single,validation,2022-10-06,Holocron Reverse Convertible,single,3M,CLNE,81.44,71.4
single,validation,2022-09-06,Mandalorian Twin-Win,single,Annual,NABO,81.13,71.4
single,train,2021-02-05,Mandalorian Twin-Win,single,1M,NABO,81.09,71.4
single,train,2019-01-03,Mandalorian Twin-Win,single,1M,NABO,80.75,71.4
single,train,2020-06-09,Mandalorian Twin-Win,single,1M,JEDI,80.74,71.4
single,train,2016-04-06,Mandalorian Twin-Win,single,1M,JEDI,80.49,71.4
single,train,2016-07-28,Holocron Reverse Convertible,single,2M,CLNE,80.46,71.4
