duration_bucket,mae,count,model_name
0-12,2.920305128888392,114,hist_gradient_boosting__all_without_commercial
12-24,2.804944806003249,298,hist_gradient_boosting__all_without_commercial
24-36,2.645140873254838,416,hist_gradient_boosting__all_without_commercial
36-60,3.6584544150996483,494,hist_gradient_boosting__all_without_commercial
60+,5.023496313381958,256,hist_gradient_boosting__all_without_commercial
0-12,2.0958490082331607,114,catboost_native__all_without_commercial
12-24,2.783162519877807,298,catboost_native__all_without_commercial
24-36,2.500241626430289,416,catboost_native__all_without_commercial
36-60,3.5536474854164988,494,catboost_native__all_without_commercial
60+,5.13156754918057,256,catboost_native__all_without_commercial
0-12,2.3321046916932016,114,lightgbm_native__all_without_commercial
12-24,2.41114360005987,298,lightgbm_native__all_without_commercial
24-36,2.558506972464609,416,lightgbm_native__all_without_commercial
36-60,3.5489736583299023,494,lightgbm_native__all_without_commercial
60+,5.75062993896319,256,lightgbm_native__all_without_commercial
0-12,2.9591526701878323,114,hist_gradient_boosting_ablation__all_without_commercial
12-24,2.8164266953385795,298,hist_gradient_boosting_ablation__all_without_commercial
24-36,2.657489021097073,416,hist_gradient_boosting_ablation__all_without_commercial
36-60,3.6695193693794654,494,hist_gradient_boosting_ablation__all_without_commercial
60+,5.045676459217271,256,hist_gradient_boosting_ablation__all_without_commercial
0-12,2.937626301739677,114,hist_gradient_boosting_ablation__all_features
12-24,2.836896505614742,298,hist_gradient_boosting_ablation__all_features
24-36,2.6409941017941034,416,hist_gradient_boosting_ablation__all_features
36-60,3.6099382751149824,494,hist_gradient_boosting_ablation__all_features
60+,5.047836607230262,256,hist_gradient_boosting_ablation__all_features
0-12,2.8150524119168594,114,hist_gradient_boosting_ablation__all_without_noise
12-24,2.8274215213482323,298,hist_gradient_boosting_ablation__all_without_noise
24-36,2.6284686505635175,416,hist_gradient_boosting_ablation__all_without_noise
36-60,3.547592620787214,494,hist_gradient_boosting_ablation__all_without_noise
60+,5.068740433854714,256,hist_gradient_boosting_ablation__all_without_noise
0-12,2.7788456976546207,114,hist_gradient_boosting__all_without_noise
12-24,2.8094269322659544,298,hist_gradient_boosting__all_without_noise
24-36,2.609293908895015,416,hist_gradient_boosting__all_without_noise
36-60,3.5289980458954138,494,hist_gradient_boosting__all_without_noise
60+,5.021172438535968,256,hist_gradient_boosting__all_without_noise
0-12,2.1888942562083606,114,catboost_native__all_without_noise
12-24,2.696945822281822,298,catboost_native__all_without_noise
24-36,2.569062005998442,416,catboost_native__all_without_noise
36-60,3.433972580631677,494,catboost_native__all_without_noise
60+,5.231077203974993,256,catboost_native__all_without_noise
0-12,2.333112730884193,114,lightgbm_native__all_without_noise
12-24,2.482962466292759,298,lightgbm_native__all_without_noise
24-36,2.5463698403637047,416,lightgbm_native__all_without_noise
36-60,3.511215694614321,494,lightgbm_native__all_without_noise
60+,5.631448912186781,256,lightgbm_native__all_without_noise
0-12,2.831550012262244,114,xgboost_ordinal__all_without_noise
12-24,3.0825820500418644,298,xgboost_ordinal__all_without_noise
24-36,2.5934472460013174,416,xgboost_ordinal__all_without_noise
36-60,3.5199785175400704,494,xgboost_ordinal__all_without_noise
60+,5.394216044545174,256,xgboost_ordinal__all_without_noise
