segment_value,mae,count,model_name,segment_column
2022,3.3982626599754533,1578,hist_gradient_boosting__all_without_commercial,requested_year
single,3.9285072689040823,534,hist_gradient_boosting__all_without_commercial,basket_type
worst_of,3.1270455898912695,1044,hist_gradient_boosting__all_without_commercial,basket_type
Holocron Reverse Convertible,4.0328759180995855,285,hist_gradient_boosting__all_without_commercial,product_type
Mandalorian Twin-Win,3.809049176451399,249,hist_gradient_boosting__all_without_commercial,product_type
Wretched Hive Digital,3.4991429425699274,274,hist_gradient_boosting__all_without_commercial,product_type
Sith Eternal Snowball,3.31862363916988,250,hist_gradient_boosting__all_without_commercial,product_type
Kessel Run Snowball,2.885143748101769,275,hist_gradient_boosting__all_without_commercial,product_type
Death Star Phoenix Note,2.786938730864769,245,hist_gradient_boosting__all_without_commercial,product_type
2022,3.2811108268967955,1578,catboost_native__all_without_commercial,requested_year
single,3.4755718783071896,534,catboost_native__all_without_commercial,basket_type
worst_of,3.181645116692628,1044,catboost_native__all_without_commercial,basket_type
Wretched Hive Digital,3.5919703821235243,274,catboost_native__all_without_commercial,product_type
Holocron Reverse Convertible,3.507666639925266,285,catboost_native__all_without_commercial,product_type
Mandalorian Twin-Win,3.4388369101901137,249,catboost_native__all_without_commercial,product_type
Sith Eternal Snowball,3.2248283791776915,250,catboost_native__all_without_commercial,product_type
Death Star Phoenix Note,3.024597921101469,245,catboost_native__all_without_commercial,product_type
Kessel Run Snowball,2.8734692060399105,275,catboost_native__all_without_commercial,product_type
2022,3.342252141828702,1578,lightgbm_native__all_without_commercial,requested_year
single,3.3755374924870596,534,lightgbm_native__all_without_commercial,basket_type
worst_of,3.3252268762620703,1044,lightgbm_native__all_without_commercial,basket_type
Wretched Hive Digital,3.805502907921084,274,lightgbm_native__all_without_commercial,product_type
Sith Eternal Snowball,3.4652851135163085,250,lightgbm_native__all_without_commercial,product_type
Holocron Reverse Convertible,3.4401236452691797,285,lightgbm_native__all_without_commercial,product_type
Mandalorian Twin-Win,3.3016135826761994,249,lightgbm_native__all_without_commercial,product_type
Death Star Phoenix Note,3.1360775156191116,245,lightgbm_native__all_without_commercial,product_type
Kessel Run Snowball,2.8878865176053283,275,lightgbm_native__all_without_commercial,product_type
2022,3.4135549647793213,1578,hist_gradient_boosting_ablation__all_without_commercial,requested_year
single,3.941988169716086,534,hist_gradient_boosting_ablation__all_without_commercial,basket_type
worst_of,3.1432644174266087,1044,hist_gradient_boosting_ablation__all_without_commercial,basket_type
Holocron Reverse Convertible,4.0653490233440515,285,hist_gradient_boosting_ablation__all_without_commercial,product_type
Mandalorian Twin-Win,3.8007920119491385,249,hist_gradient_boosting_ablation__all_without_commercial,product_type
Wretched Hive Digital,3.498870771031839,274,hist_gradient_boosting_ablation__all_without_commercial,product_type
Sith Eternal Snowball,3.3144154271578747,250,hist_gradient_boosting_ablation__all_without_commercial,product_type
Kessel Run Snowball,2.88429011484978,275,hist_gradient_boosting_ablation__all_without_commercial,product_type
Death Star Phoenix Note,2.8616074373775398,245,hist_gradient_boosting_ablation__all_without_commercial,product_type
2022,3.3932153249528594,1578,hist_gradient_boosting_ablation__all_features,requested_year
single,3.9071317380035464,534,hist_gradient_boosting_ablation__all_features,basket_type
worst_of,3.1303500332200365,1044,hist_gradient_boosting_ablation__all_features,basket_type
Holocron Reverse Convertible,4.034702200348225,285,hist_gradient_boosting_ablation__all_features,product_type
Mandalorian Twin-Win,3.7611173533921667,249,hist_gradient_boosting_ablation__all_features,product_type
Wretched Hive Digital,3.472246119889798,274,hist_gradient_boosting_ablation__all_features,product_type
Sith Eternal Snowball,3.2917163037283412,250,hist_gradient_boosting_ablation__all_features,product_type
Death Star Phoenix Note,2.8834268035027035,245,hist_gradient_boosting_ablation__all_features,product_type
Kessel Run Snowball,2.8629867456060576,275,hist_gradient_boosting_ablation__all_features,product_type
2022,3.363142492199245,1578,hist_gradient_boosting_ablation__all_without_noise,requested_year
single,3.814253861617691,534,hist_gradient_boosting_ablation__all_without_noise,basket_type
worst_of,3.1324016193357873,1044,hist_gradient_boosting_ablation__all_without_noise,basket_type
Holocron Reverse Convertible,3.912825121298133,285,hist_gradient_boosting_ablation__all_without_noise,product_type
Mandalorian Twin-Win,3.7014313354774258,249,hist_gradient_boosting_ablation__all_without_noise,product_type
Wretched Hive Digital,3.486835214399034,274,hist_gradient_boosting_ablation__all_without_noise,product_type
Sith Eternal Snowball,3.3200592944220197,250,hist_gradient_boosting_ablation__all_without_noise,product_type
Death Star Phoenix Note,2.85819909688755,245,hist_gradient_boosting_ablation__all_without_noise,product_type
Kessel Run Snowball,2.852948507266444,275,hist_gradient_boosting_ablation__all_without_noise,product_type
2022,3.338535538900982,1578,hist_gradient_boosting__all_without_noise,requested_year
single,3.790961254998856,534,hist_gradient_boosting__all_without_noise,basket_type
worst_of,3.107122385264713,1044,hist_gradient_boosting__all_without_noise,basket_type
Holocron Reverse Convertible,3.8888952452852137,285,hist_gradient_boosting__all_without_noise,product_type
Mandalorian Twin-Win,3.6788681335867603,249,hist_gradient_boosting__all_without_noise,product_type
Wretched Hive Digital,3.4683091803795625,274,hist_gradient_boosting__all_without_noise,product_type
Sith Eternal Snowball,3.31574496175943,250,hist_gradient_boosting__all_without_noise,product_type
Kessel Run Snowball,2.8343118426964775,275,hist_gradient_boosting__all_without_noise,product_type
Death Star Phoenix Note,2.7965186024937605,245,hist_gradient_boosting__all_without_noise,product_type
2022,3.2683725055720756,1578,catboost_native__all_without_noise,requested_year
single,3.478812252290348,534,catboost_native__all_without_noise,basket_type
worst_of,3.1607337845495103,1044,catboost_native__all_without_noise,basket_type
Holocron Reverse Convertible,3.5272841076827515,285,catboost_native__all_without_noise,product_type
Wretched Hive Digital,3.4453528413903083,274,catboost_native__all_without_noise,product_type
Mandalorian Twin-Win,3.4233324178050677,249,catboost_native__all_without_noise,product_type
Sith Eternal Snowball,3.305264657922232,250,catboost_native__all_without_noise,product_type
Death Star Phoenix Note,3.0474443717261153,245,catboost_native__all_without_noise,product_type
Kessel Run Snowball,2.8466885708192295,275,catboost_native__all_without_noise,product_type
2022,3.321532949636649,1578,lightgbm_native__all_without_noise,requested_year
single,3.3917967163477245,534,lightgbm_native__all_without_noise,basket_type
worst_of,3.285593436778685,1044,lightgbm_native__all_without_noise,basket_type
Wretched Hive Digital,3.731377170773083,274,lightgbm_native__all_without_noise,product_type
Holocron Reverse Convertible,3.482320780638639,285,lightgbm_native__all_without_noise,product_type
Sith Eternal Snowball,3.473702781961474,250,lightgbm_native__all_without_noise,product_type
Mandalorian Twin-Win,3.288184835532822,249,lightgbm_native__all_without_noise,product_type
Death Star Phoenix Note,3.070943592722475,245,lightgbm_native__all_without_noise,product_type
Kessel Run Snowball,2.861655736355446,275,lightgbm_native__all_without_noise,product_type
2022,3.447445438349353,1578,xgboost_ordinal__all_without_noise,requested_year
single,3.919469289288539,534,xgboost_ordinal__all_without_noise,basket_type
worst_of,3.206007951374712,1044,xgboost_ordinal__all_without_noise,basket_type
Holocron Reverse Convertible,4.060950366672717,285,xgboost_ordinal__all_without_noise,product_type
Mandalorian Twin-Win,3.7575331163789376,249,xgboost_ordinal__all_without_noise,product_type
Wretched Hive Digital,3.592548364792427,274,xgboost_ordinal__all_without_noise,product_type
Sith Eternal Snowball,3.2675215191650393,250,xgboost_ordinal__all_without_noise,product_type
Death Star Phoenix Note,2.9808628526804397,245,xgboost_ordinal__all_without_noise,product_type
Kessel Run Snowball,2.9655355293967505,275,xgboost_ordinal__all_without_noise,product_type
