underlying,mae,count,model_name
HTTX,3.68819548804699,228,hist_gradient_boosting__all_without_commercial
JEDI,3.6802464426385972,178,hist_gradient_boosting__all_without_commercial
BSKR,3.518950994847469,206,hist_gradient_boosting__all_without_commercial
CLNE,3.514602731507764,191,hist_gradient_boosting__all_without_commercial
MNDO,3.4674895184348293,194,hist_gradient_boosting__all_without_commercial
NABO,3.4499627186038944,205,hist_gradient_boosting__all_without_commercial
KYBR,3.355570283856291,200,hist_gradient_boosting__all_without_commercial
CORL,3.3369542084702624,205,hist_gradient_boosting__all_without_commercial
DRC,3.2185625377749325,190,hist_gradient_boosting__all_without_commercial
TECH,3.1959247113629377,205,hist_gradient_boosting__all_without_commercial
SITH,3.077327812711042,213,hist_gradient_boosting__all_without_commercial
WOOK,2.948123518037031,228,hist_gradient_boosting__all_without_commercial
REBL,2.8972070650917603,234,hist_gradient_boosting__all_without_commercial
POBK,2.8572237820689783,195,hist_gradient_boosting__all_without_commercial
NABO,3.784994714642015,205,catboost_native__all_without_commercial
JEDI,3.6982325802049565,178,catboost_native__all_without_commercial
BSKR,3.490132835525074,206,catboost_native__all_without_commercial
KYBR,3.3910018793858554,200,catboost_native__all_without_commercial
SITH,3.3563996945186174,213,catboost_native__all_without_commercial
CLNE,3.318733925743934,191,catboost_native__all_without_commercial
CORL,3.3002364103152737,205,catboost_native__all_without_commercial
HTTX,3.2354168783688477,228,catboost_native__all_without_commercial
DRC,3.2130594124968685,190,catboost_native__all_without_commercial
TECH,3.1869527143351313,205,catboost_native__all_without_commercial
MNDO,3.0705967910152534,194,catboost_native__all_without_commercial
WOOK,3.0276214752563484,228,catboost_native__all_without_commercial
POBK,2.7659156603103106,195,catboost_native__all_without_commercial
REBL,2.6576580178202085,234,catboost_native__all_without_commercial
NABO,3.8149833067632866,205,lightgbm_native__all_without_commercial
CLNE,3.8091336749097113,191,lightgbm_native__all_without_commercial
JEDI,3.686165048556704,178,lightgbm_native__all_without_commercial
HTTX,3.5964833931689433,228,lightgbm_native__all_without_commercial
CORL,3.5593494186365793,205,lightgbm_native__all_without_commercial
BSKR,3.527699322224887,206,lightgbm_native__all_without_commercial
MNDO,3.433784485014234,194,lightgbm_native__all_without_commercial
KYBR,3.371756582094352,200,lightgbm_native__all_without_commercial
SITH,3.2438819503255867,213,lightgbm_native__all_without_commercial
DRC,3.2185856224233405,190,lightgbm_native__all_without_commercial
TECH,3.147862213057158,205,lightgbm_native__all_without_commercial
POBK,2.89641465542928,195,lightgbm_native__all_without_commercial
WOOK,2.8658575857151685,228,lightgbm_native__all_without_commercial
REBL,2.83459766027266,234,lightgbm_native__all_without_commercial
HTTX,3.6866433795411373,228,hist_gradient_boosting_ablation__all_without_commercial
JEDI,3.6862303198626005,178,hist_gradient_boosting_ablation__all_without_commercial
BSKR,3.532800312602148,206,hist_gradient_boosting_ablation__all_without_commercial
CLNE,3.5059485235312042,191,hist_gradient_boosting_ablation__all_without_commercial
NABO,3.4865576035669226,205,hist_gradient_boosting_ablation__all_without_commercial
MNDO,3.477433390473677,194,hist_gradient_boosting_ablation__all_without_commercial
CORL,3.3401090292489104,205,hist_gradient_boosting_ablation__all_without_commercial
KYBR,3.3327654641373403,200,hist_gradient_boosting_ablation__all_without_commercial
DRC,3.246847372279781,190,hist_gradient_boosting_ablation__all_without_commercial
TECH,3.2081195073199735,205,hist_gradient_boosting_ablation__all_without_commercial
SITH,3.097008246200753,213,hist_gradient_boosting_ablation__all_without_commercial
WOOK,3.0068847328390067,228,hist_gradient_boosting_ablation__all_without_commercial
REBL,2.921507588589801,234,hist_gradient_boosting_ablation__all_without_commercial
POBK,2.864576112024436,195,hist_gradient_boosting_ablation__all_without_commercial
JEDI,3.695945449441505,178,hist_gradient_boosting_ablation__all_features
HTTX,3.6464211860779576,228,hist_gradient_boosting_ablation__all_features
CLNE,3.518425781616306,191,hist_gradient_boosting_ablation__all_features
BSKR,3.5127810078189765,206,hist_gradient_boosting_ablation__all_features
NABO,3.479943767163905,205,hist_gradient_boosting_ablation__all_features
MNDO,3.4648797341740427,194,hist_gradient_boosting_ablation__all_features
CORL,3.347970899623413,205,hist_gradient_boosting_ablation__all_features
KYBR,3.2901999742034294,200,hist_gradient_boosting_ablation__all_features
DRC,3.2307045979544666,190,hist_gradient_boosting_ablation__all_features
TECH,3.202080117061816,205,hist_gradient_boosting_ablation__all_features
SITH,3.05574522419704,213,hist_gradient_boosting_ablation__all_features
WOOK,2.9503734585386754,228,hist_gradient_boosting_ablation__all_features
REBL,2.908309514778399,234,hist_gradient_boosting_ablation__all_features
POBK,2.8527230037632068,195,hist_gradient_boosting_ablation__all_features
JEDI,3.7059372465301292,178,hist_gradient_boosting_ablation__all_without_noise
HTTX,3.6030124600180997,228,hist_gradient_boosting_ablation__all_without_noise
NABO,3.4768026858892203,205,hist_gradient_boosting_ablation__all_without_noise
MNDO,3.47174321892112,194,hist_gradient_boosting_ablation__all_without_noise
BSKR,3.4532325317531622,206,hist_gradient_boosting_ablation__all_without_noise
CLNE,3.4120889788296718,191,hist_gradient_boosting_ablation__all_without_noise
CORL,3.359983684561554,205,hist_gradient_boosting_ablation__all_without_noise
KYBR,3.286299658048894,200,hist_gradient_boosting_ablation__all_without_noise
DRC,3.277002366037557,190,hist_gradient_boosting_ablation__all_without_noise
TECH,3.2080678939319798,205,hist_gradient_boosting_ablation__all_without_noise
SITH,3.0184128655585205,213,hist_gradient_boosting_ablation__all_without_noise
REBL,2.9306886089759527,234,hist_gradient_boosting_ablation__all_without_noise
WOOK,2.910871717849327,228,hist_gradient_boosting_ablation__all_without_noise
POBK,2.8619327346579855,195,hist_gradient_boosting_ablation__all_without_noise
JEDI,3.693412289102868,178,hist_gradient_boosting__all_without_noise
HTTX,3.566032740329732,228,hist_gradient_boosting__all_without_noise
NABO,3.457182576531573,205,hist_gradient_boosting__all_without_noise
MNDO,3.439282669815703,194,hist_gradient_boosting__all_without_noise
BSKR,3.422481706804072,206,hist_gradient_boosting__all_without_noise
CLNE,3.421194619445781,191,hist_gradient_boosting__all_without_noise
CORL,3.3501031428412826,205,hist_gradient_boosting__all_without_noise
KYBR,3.2666083954115965,200,hist_gradient_boosting__all_without_noise
DRC,3.25544604995936,190,hist_gradient_boosting__all_without_noise
TECH,3.172379645339454,205,hist_gradient_boosting__all_without_noise
SITH,2.996069261542087,213,hist_gradient_boosting__all_without_noise
REBL,2.904957045798365,234,hist_gradient_boosting__all_without_noise
POBK,2.8632093703362678,195,hist_gradient_boosting__all_without_noise
WOOK,2.8546563155481275,228,hist_gradient_boosting__all_without_noise
NABO,3.7519926831192993,205,catboost_native__all_without_noise
JEDI,3.643846289722229,178,catboost_native__all_without_noise
BSKR,3.5050872194039764,206,catboost_native__all_without_noise
CLNE,3.429912959852441,191,catboost_native__all_without_noise
KYBR,3.408847789236444,200,catboost_native__all_without_noise
CORL,3.369344335267382,205,catboost_native__all_without_noise
HTTX,3.3661720097942323,228,catboost_native__all_without_noise
TECH,3.2590185023231424,205,catboost_native__all_without_noise
SITH,3.2413713386310707,213,catboost_native__all_without_noise
DRC,3.15295886464222,190,catboost_native__all_without_noise
MNDO,3.0461868729238164,194,catboost_native__all_without_noise
WOOK,2.814643564497098,228,catboost_native__all_without_noise
REBL,2.748783795803406,234,catboost_native__all_without_noise
POBK,2.6422037730077252,195,catboost_native__all_without_noise
NABO,3.842959268079328,205,lightgbm_native__all_without_noise
CLNE,3.7542197785044116,191,lightgbm_native__all_without_noise
HTTX,3.644463086774527,228,lightgbm_native__all_without_noise
JEDI,3.578942967424255,178,lightgbm_native__all_without_noise
